dateRep,cases,,,,,,,,,,
5/4/2020,35,,,,,,,,,,
4/4/2020,0,,,,,,,,,,
3/4/2020,43,,,,,,,,,,
2/4/2020,26,,,,,,,,,,
1/4/2020,25,,,,,,,,,,
31/03/2020,27,,,,,,,,,,
30/03/2020,8,,,,,,,,,,
29/03/2020,15,,,,,,,,,,
28/03/2020,16,,,,,,,,,,
27/03/2020,0,,,,,,,,,,
26/03/2020,33,,,,,,,,,,
25/03/2020,2,,,,,,,,,,
24/03/2020,6,,,,,,,,,,
23/03/2020,10,,,,,,,,,,
22/03/2020,0,,,,,,,,,,
21/03/2020,2,,,,,,,,,,
20/03/2020,0,,,,,,,,,,
19/03/2020,0,,,,,,,,,,
18/03/2020,1,,,,,,,,,,
17/03/2020,5,,,,,,,,,,
16/03/2020,6,,,,,,,,,,
15/03/2020,3,,,,,,,,,,
11/3/2020,3,,,,,,,,,,
8/3/2020,3,,,,,,,,,,
2/3/2020,0,,,,,,,,,,
1/3/2020,0,,,,,,,,,,
29/02/2020,0,,,,,,,,,,
28/02/2020,0,,,,,,,,,,
27/02/2020,0,,,,,,,,,,
26/02/2020,0,,,,,,,,,,
25/02/2020,1,,,,,,,,,,
24/02/2020,0,,,,,,,,,,
23/02/2020,0,,,,,,,,,,
22/02/2020,0,,,,,,,,,,
21/02/2020,0,,,,,,,,,,
20/02/2020,0,,,,,,,,,,
19/02/2020,0,,,,,,,,,,
18/02/2020,0,,,,,,,,,,
17/02/2020,0,,,,,,,,,,
16/02/2020,0,,,,,,,,,,
15/02/2020,0,,,,,,,,,,
14/02/2020,0,,,,,,,,,,
13/02/2020,0,,,,,,,,,,
12/2/2020,0,,,,,,,,,,
11/2/2020,0,,,,,,,,,,
10/2/2020,0,,,,,,,,,,
9/2/2020,0,,,,,,,,,,
8/2/2020,0,,,,,,,,,,
7/2/2020,0,,,,,,,,,,
6/2/2020,0,,,,,,,,,,
5/2/2020,0,,,,,,,,,,
4/2/2020,0,,,,,,,,,,
3/2/2020,0,,,,,,,,,,
2/2/2020,0,,,,,,,,,,
1/2/2020,0,,,,,,,,,,
31/01/2020,0,,,,,,,,,,
30/01/2020,0,,,,,,,,,,
29/01/2020,0,,,,,,,,,,
28/01/2020,0,,,,,,,,,,
27/01/2020,0,,,,,,,,,,
26/01/2020,0,,,,,,,,,,
25/01/2020,0,,,,,,,,,,
24/01/2020,0,,,,,,,,,,
23/01/2020,0,,,,,,,,,,
22/01/2020,0,,,,,,,,,,
21/01/2020,0,,,,,,,,,,
20/01/2020,0,,,,,,,,,,
19/01/2020,0,,,,,,,,,,
18/01/2020,0,,,,,,,,,,
17/01/2020,0,,,,,,,,,,
16/01/2020,0,,,,,,,,,,
15/01/2020,0,,,,,,,,,,
14/01/2020,0,,,,,,,,,,
13/01/2020,0,,,,,,,,,,
12/1/2020,0,,,,,,,,,,
11/1/2020,0,,,,,,,,,,
10/1/2020,0,,,,,,,,,,
9/1/2020,0,,,,,,,,,,
8/1/2020,0,,,,,,,,,,
7/1/2020,0,,,,,,,,,,
6/1/2020,0,,,,,,,,,,
5/1/2020,0,,,,,,,,,,
4/1/2020,0,,,,,,,,,,
3/1/2020,0,,,,,,,,,,
2/1/2020,0,,,,,,,,,,
1/1/2020,0,,,,,,,,,,
31/12/2019,0,,,,,,,,,,
14/12/2020,788,,,,,,,,,,
13/12/2020,879,,,,,,,,,,
12/12/2020,802,,,,,,,,,,
11/12/2020,873,,,,,,,,,,
10/12/2020,752,,,,,,,,,,
9/12/2020,753,,,,,,,,,,
8/12/2020,695,,,,,,,,,,
7/12/2020,840,,,,,,,,,,
6/12/2020,846,,,,,,,,,,
5/12/2020,801,,,,,,,,,,
4/12/2020,782,,,,,,,,,,
3/12/2020,705,,,,,,,,,,
2/12/2020,832,,,,,,,,,,
1/12/2020,557,,,,,,,,,,
30/11/2020,835,,,,,,,,,,
29/11/2020,545,,,,,,,,,,
28/11/2020,645,,,,,,,,,,
27/11/2020,656,,,,,,,,,,
26/11/2020,644,,,,,,,,,,
25/11/2020,744,,,,,,,,,,
24/11/2020,795,,,,,,,,,,
23/11/2020,565,,,,,,,,,,
22/11/2020,737,,,,,,,,,,
21/11/2020,836,,,,,,,,,,
20/11/2020,786,,,,,,,,,,
19/11/2020,711,,,,,,,,,,
18/11/2020,694,,,,,,,,,,
17/11/2020,602,,,,,,,,,,
16/11/2020,597,,,,,,,,,,
15/11/2020,532,,,,,,,,,,
14/11/2020,490,,,,,,,,,,
13/11/2020,410,,,,,,,,,,
12/11/2020,507,,,,,,,,,,
11/11/2020,563,,,,,,,,,,
10/11/2020,525,,,,,,,,,,
9/11/2020,501,,,,,,,,,,
8/11/2020,495,,,,,,,,,,
7/11/2020,489,,,,,,,,,,
6/11/2020,421,,,,,,,,,,
5/11/2020,396,,,,,,,,,,
4/11/2020,381,,,,,,,,,,
3/11/2020,321,,,,,,,,,,
2/11/2020,327,,,,,,,,,,
1/11/2020,241,,,,,,,,,,
31/10/2020,319,,,,,,,,,,
30/10/2020,275,,,,,,,,,,
29/10/2020,311,,,,,,,,,,
28/10/2020,284,,,,,,,,,,
27/10/2020,288,,,,,,,,,,
26/10/2020,299,,,,,,,,,,
25/10/2020,302,,,,,,,,,,
24/10/2020,306,,,,,,,,,,
23/10/2020,302,,,,,,,,,,
22/10/2020,297,,,,,,,,,,
21/10/2020,301,,,,,,,,,,
20/10/2020,295,,,,,,,,,,
19/10/2020,281,,,,,,,,,,
18/10/2020,273,,,,,,,,,,
17/10/2020,289,,,,,,,,,,
16/10/2020,257,,,,,,,,,,
15/10/2020,203,,,,,,,,,,
14/10/2020,182,,,,,,,,,,
13/10/2020,171,,,,,,,,,,
12/10/2020,168,,,,,,,,,,
11/10/2020,165,,,,,,,,,,
10/10/2020,167,,,,,,,,,,
